path_id	pc	variance_explained	sd	cum_var
hsa03082	PC8	5.71650680600217	1.01438218886196	52.1029144092312
hsa03082	PC9	5.5138229923542	0.996236989186687	57.6167374015854
hsa03082	PC10	5.49288838100624	0.994343958890043	63.1096257825917
hsa05221	PC1	8.08999296895326	1.45030968138803	8.08999296895326
hsa05221	PC2	5.38943761875482	1.18374565717313	13.4794305877081
hsa05221	PC3	4.89355122758211	1.12797310214887	18.3729818152902
hsa05221	PC4	4.78438414834529	1.11532052727894	23.1573659636355
hsa05221	PC5	4.58778049860144	1.09216433270656	27.7451464622369
hsa05221	PC6	4.37515579057948	1.06655543951108	32.1203022528164
hsa05221	PC7	4.26212054758348	1.0526876756055	36.3824228003999
hsa05221	PC8	4.1542866546597	1.03928558645423	40.5367094550596
hsa05221	PC9	4.13723262732122	1.03715017384346	44.6739420823808
hsa05221	PC10	4.003085924111	1.02019720655806	48.6770280064918
hsa04520	PC1	4.9262579159243	1.40374611891528	4.9262579159243
hsa04520	PC2	4.22045898025964	1.29930119375911	9.14671689618394
hsa04520	PC3	3.58823446496683	1.19803747269722	12.7349513611508
hsa04520	PC4	3.40663939731275	1.16732847087917	16.1415907584635
hsa04520	PC5	3.36194651612693	1.15964589700942	19.5035372745904
hsa04520	PC6	3.29151249844465	1.14743409369683	22.7950497730351
hsa04520	PC7	3.11760710766912	1.11671072488252	25.9126568807042
hsa04520	PC8	3.09199967717147	1.11211504389995	29.0046565578757
hsa04520	PC9	3.04617316697297	1.10384295386128	32.0508297248487
hsa04520	PC10	3.02162739598648	1.09938662825895	35.0724571208351
hsa04920	PC1	6.60883151778848	1.17807241659228	6.60883151778848
hsa04920	PC2	5.9840094291209	1.12100043716111	12.5928409469094
hsa04920	PC3	5.81462375412233	1.10502080901931	18.4074647010317
hsa04920	PC4	5.54462226980307	1.07906008945686	23.9520869708348
hsa04920	PC5	5.49783660797106	1.07449787699833	29.4499235788058
hsa04920	PC6	5.35738641983349	1.060684282982	34.8073099986393
hsa04920	PC7	5.12066837942268	1.03698619068856	39.927978378062
hsa04920	PC8	5.01841570132302	1.02658039007076	44.946394079385
hsa04920	PC9	4.93601916456466	1.01811788342931	49.8824132439497
hsa04920	PC10	4.87671969813325	1.01198376301598	54.7591329420829
hsa04261	PC1	4.76310735093249	1.55858421298805	4.76310735093249
hsa04261	PC2	2.98142065092873	1.23309550805023	7.74452800186122
hsa04261	PC3	2.96264462443144	1.22920655646642	10.7071726262927
hsa04261	PC4	2.85822532869731	1.20735037070257	13.56539795499
hsa04261	PC5	2.76646388883951	1.18781167838515	16.3318618438295
hsa04261	PC6	2.70575569020076	1.17470651739164	19.0376175340302
hsa04261	PC7	2.69248143448649	1.17182145892116	21.7300989685167
hsa04261	PC8	2.59412167067464	1.15021826278497	24.3242206391914
hsa04261	PC9	2.5751348209615	1.14600120361646	26.8993554601529
hsa04261	PC10	2.49594320083501	1.1282424528557	29.3952986609879
hsa05143	PC1	12.8390124658492	1.24124191675189	12.8390124658492
hsa05143	PC2	9.61009615319971	1.07387687300918	22.4491086190489
